station_index,station_index_bins,station,lat,lon,depth,transect,notes
1,110,NH03,44.67,-124.13,45,Newport,
2,110,NH05,44.67,-124.17,58,Newport,
3,110,NH10,44.67,-124.28,78,Newport,
4,111,NH15,44.67,-124.40,88,Newport,
5,111,NH20,44.67,-124.52,135,Newport,
6,114,NH25,44.67,-124.63,281,Newport,
7,112,NH30,44.67,-124.75,200,Newport,
8,113,CH01,45.05,-124.03,26,Cascade Head,
9,110,CH02,45.05,-124.07,56,Cascade Head,
10,111,CH05,45.05,-124.13,95,Cascade Head,
11,111,CH10,45.05,-124.23,148,Cascade Head,
12,112,CH15,45.05,-124.34,203,Cascade Head,
13,103,CM01,45.48,-124.00,33,Meares,
14,100,CM03,45.48,-124.03,55,Meares,
15,101,CM05,45.48,-124.09,82,Meares,
16,101,CM10,45.48,-124.20,134,Meares,
17,102,CM15,45.48,-124.32,172,Meares,
18,102,CM20,45.48,-124.44,249,Meares,
19,104,CM25,45.48,-124.56,457,Meares,
20,103,CF01,45.73,-123.97,27,Cape Falcon,
21,101,CF10,45.73,-124.18,113,Cape Falcon,
22,101,CF15,45.73,-124.30,148,Cape Falcon,
23,108,CR02,46.17,-124.03,18,Columbia River,
24,108,CR04,46.17,-124.07,28,Columbia River,
25,105,CR05,46.17,-124.09,40,Columbia River,
26,105,CR07,46.17,-124.15,55,Columbia River,
27,105,CR08,46.17,-124.18,62,Columbia River,
28,105,CR10,46.17,-124.21,75,Columbia River,
29,106,CR15,46.17,-124.33,111,Columbia River,
30,106,CR20,46.17,-124.45,131,Columbia River,
31,107,CR25,46.17,-124.55,151,Columbia River,
32,109,CR30,46.17,-124.67,511,Columbia River,
33,123,WB05,46.67,-124.18,28,Willipa Bay,
34,120,WB09,46.67,-124.29,59,Willipa Bay,
35,120,WB14,46.67,-124.40,79,Willipa Bay,
36,121,WB19,46.67,-124.50,110,Willipa Bay,
37,121,WB23,46.67,-124.60,129,Willipa Bay,
38,124,WB30,46.67,-124.78,272,Willipa Bay,
39,123,GH02,47,-124.24,22,Grays Harbor,
40,123,GH03,47,-124.24,23,Grays Harbor,
41,123,GH06,47,-124.32,36,Grays Harbor,
42,120,GH05,47,-124.31,40,Grays Harbor,
43,120,GH10,47,-124.41,55,Grays Harbor,
44,120,GH16,47,-124.55,79,Grays Harbor,
45,121,GH21,47,-124.69,109,Grays Harbor,
46,122,GH26,47,-124.81,150,Grays Harbor,
47,122,GH31,47,-124.94,155,Grays Harbor,
48,118,QR03,47.53,-124.42,16,Queets River,
49,118,QR06,47.53,-124.50,27,Queets River,
50,115,QR10,47.53,-124.60,52,Queets River,
51,115,QR14,47.53,-124.70,77,Queets River,
52,116,QR19,47.53,-124.80,112,Queets River,
53,117,QR24,47.53,-124.93,172,Queets River,
54,119,QR29,47.53,-125.05,483,Queets River,
55,118,LP04,47.92,-124.74,33,La Push,
56,115,LP06,47.92,-124.79,51,La Push,
57,115,LP09,47.92,-124.87,79,La Push,
58,116,LP12,47.92,-124.95,104,La Push,
59,116,LP17,47.92,-125.08,135,La Push,
60,117,LP22,47.92,-125.19,175,La Push,
61,119,LP27,47.92,-125.30,497,La Push,
