station_index,station_index_bins,station,lat,lon,depth,transect,notes
3,110,NH10,44.67,-124.28,78,Newport,
4,111,NH15,44.67,-124.40,88,Newport,
5,111,NH20,44.67,-124.52,135,Newport,
6,114,NH25,44.67,-124.63,281,Newport,
7,112,NH30,44.67,-124.75,200,Newport,
11,111,CH10,45.05,-124.23,148,Cascade Head,
12,112,CH15,45.05,-124.34,203,Cascade Head,
16,101,CM10,45.48,-124.20,134,Meares,
17,102,CM15,45.48,-124.32,172,Meares,
18,102,CM20,45.48,-124.44,249,Meares,
19,104,CM25,45.48,-124.56,457,Meares,
21,101,CF10,45.73,-124.18,113,Cape Falcon,
22,101,CF15,45.73,-124.30,148,Cape Falcon,
28,105,CR10,46.17,-124.21,75,Columbia River,
29,106,CR15,46.17,-124.33,111,Columbia River,
30,106,CR20,46.17,-124.45,131,Columbia River,
31,107,CR25,46.17,-124.55,151,Columbia River,
32,109,CR30,46.17,-124.67,511,Columbia River,
35,120,WB14,46.67,-124.40,79,Willipa Bay,
36,121,WB19,46.67,-124.50,110,Willipa Bay,
37,121,WB23,46.67,-124.60,129,Willipa Bay,
38,124,WB30,46.67,-124.78,272,Willipa Bay,
43,120,GH10,47,-124.41,55,Grays Harbor,
44,120,GH16,47,-124.55,79,Grays Harbor,
45,121,GH21,47,-124.69,109,Grays Harbor,
46,122,GH26,47,-124.81,150,Grays Harbor,
47,122,GH31,47,-124.94,155,Grays Harbor,
50,115,QR10,47.53,-124.60,52,Queets River,
51,115,QR14,47.53,-124.70,77,Queets River,
52,116,QR19,47.53,-124.80,112,Queets River,
53,117,QR24,47.53,-124.93,172,Queets River,
54,119,QR29,47.53,-125.05,483,Queets River,
58,116,LP12,47.92,-124.95,104,La Push,
59,116,LP17,47.92,-125.08,135,La Push,
60,117,LP22,47.92,-125.19,175,La Push,
61,119,LP27,47.92,-125.30,497,La Push,
